field,ra1,dec1,ra2,dec2,ra3,dec3,ra4,dec4
309,111.626925940748,-13.2356932594709,111.79156196825,-20.7870860120284,103.90766757635,-20.8006298701046,104.050246389408,-13.2497280753305
310,118.683235940748,-13.2356932594709,118.84787196825,-20.7870860120284,110.96397757635,-20.8006298701046,111.106556389408,-13.2497280753305
311,125.713925940748,-13.2356932594709,125.87856196825,-20.7870860120284,117.99466757635,-20.8006298701046,118.137246389408,-13.2497280753305
312,132.744625940748,-13.2356932594709,132.90926196825,-20.7870860120284,125.02536757635,-20.8006298701046,125.167946389408,-13.2497280753305
313,139.775315940748,-13.2356932594709,139.93995196825,-20.7870860120284,132.05605757635,-20.8006298701046,132.198636389408,-13.2497280753305
314,146.806015940748,-13.2356932594709,146.97065196825,-20.7870860120284,139.08675757635,-20.8006298701046,139.229336389408,-13.2497280753305
315,153.836715940748,-13.2356932594709,154.00135196825,-20.7870860120284,146.11745757635,-20.8006298701046,146.260036389408,-13.2497280753305
316,160.867405940748,-13.2356932594709,161.03204196825,-20.7870860120284,153.14814757635,-20.8006298701046,153.290726389408,-13.2497280753305
317,167.898105940748,-13.2356932594709,168.06274196825,-20.7870860120284,160.17884757635,-20.8006298701046,160.321426389408,-13.2497280753305
318,174.928795940748,-13.2356932594709,175.09343196825,-20.7870860120284,167.20953757635,-20.8006298701046,167.352116389408,-13.2497280753305
319,181.959495940748,-13.2356932594709,182.12413196825,-20.7870860120284,174.24023757635,-20.8006298701046,174.382816389408,-13.2497280753305
320,188.990185940748,-13.2356932594709,189.15482196825,-20.7870860120284,181.27092757635,-20.8006298701046,181.413506389408,-13.2497280753305
321,196.020885940748,-13.2356932594709,196.18552196825,-20.7870860120284,188.30162757635,-20.8006298701046,188.444206389408,-13.2497280753305
322,203.051585940748,-13.2356932594709,203.21622196825,-20.7870860120284,195.33232757635,-20.8006298701046,195.474906389408,-13.2497280753305
323,210.082275940748,-13.2356932594709,210.24691196825,-20.7870860120284,202.36301757635,-20.8006298701046,202.505596389408,-13.2497280753305
324,217.112975940748,-13.2356932594709,217.27761196825,-20.7870860120284,209.39371757635,-20.8006298701046,209.536296389408,-13.2497280753305
325,224.143665940748,-13.2356932594709,224.30830196825,-20.7870860120284,216.42440757635,-20.8006298701046,216.566986389408,-13.2497280753305
326,231.174365940748,-13.2356932594709,231.33900196825,-20.7870860120284,223.45510757635,-20.8006298701046,223.597686389408,-13.2497280753305
327,238.205055940748,-13.2356932594709,238.36969196825,-20.7870860120284,230.48579757635,-20.8006298701046,230.628376389408,-13.2497280753305
328,245.235755940748,-13.2356932594709,245.40039196825,-20.7870860120284,237.51649757635,-20.8006298701046,237.659076389408,-13.2497280753305
329,252.266455940748,-13.2356932594709,252.43109196825,-20.7870860120284,244.54719757635,-20.8006298701046,244.689776389408,-13.2497280753305
330,259.297145940748,-13.2356932594709,259.46178196825,-20.7870860120284,251.57788757635,-20.8006298701046,251.720466389408,-13.2497280753305
331,266.327845940748,-13.2356932594709,266.49248196825,-20.7870860120284,258.60858757635,-20.8006298701046,258.751166389408,-13.2497280753305
332,273.358535940748,-13.2356932594709,273.52317196825,-20.7870860120284,265.63927757635,-20.8006298701046,265.781856389408,-13.2497280753305
333,280.414845940748,-13.2356932594709,280.57948196825,-20.7870860120284,272.69558757635,-20.8006298701046,272.838166389408,-13.2497280753305
334,287.496775940748,-13.2356932594709,287.66141196825,-20.7870860120284,279.77751757635,-20.8006298701046,279.920096389408,-13.2497280753305
335,294.578705940748,-13.2356932594709,294.74334196825,-20.7870860120284,286.85944757635,-20.8006298701046,287.002026389408,-13.2497280753305
336,301.660635940748,-13.2356932594709,301.82527196825,-20.7870860120284,293.94137757635,-20.8006298701046,294.083956389408,-13.2497280753305
337,308.742565940748,-13.2356932594709,308.90720196825,-20.7870860120284,301.02330757635,-20.8006298701046,301.165886389408,-13.2497280753305
338,315.824495940748,-13.2356932594709,315.98913196825,-20.7870860120284,308.10523757635,-20.8006298701046,308.247816389408,-13.2497280753305
339,322.906425940748,-13.2356932594709,323.07106196825,-20.7870860120284,315.18716757635,-20.8006298701046,315.329746389408,-13.2497280753305
340,329.988345940748,-13.2356932594709,330.15298196825,-20.7870860120284,322.269087576351,-20.8006298701046,322.411666389408,-13.2497280753305
341,337.070275940748,-13.2356932594709,337.23491196825,-20.7870860120284,329.351017576351,-20.8006298701046,329.493596389408,-13.2497280753305
342,344.152205940748,-13.2356932594709,344.31684196825,-20.7870860120284,336.432947576351,-20.8006298701046,336.575526389408,-13.2497280753305
343,351.234135940748,-13.2356932594709,351.39877196825,-20.7870860120284,343.514877576351,-20.8006298701046,343.657456389408,-13.2497280753305
344,358.316065940748,-13.2356932594709,358.48070196825,-20.7870860120284,350.59680757635,-20.8006298701046,350.739386389408,-13.2497280753305
345,8.8919818933045,-6.05091174810541,8.98612402227481,-13.6033736369848,1.40325948064912,-13.617023462563,1.47558657596977,-6.06522903673258
346,15.9411718933045,-6.05091174810541,16.0353140222748,-13.6033736369848,8.45244948064913,-13.617023462563,8.52477657596977,-6.06522903673258
347,22.9903618933045,-6.05091174810541,23.0845040222748,-13.6033736369848,15.5016394806491,-13.617023462563,15.5739665759698,-6.06522903673258
348,30.0395418933045,-6.05091174810541,30.1336840222748,-13.6033736369848,22.5508194806491,-13.617023462563,22.6231465759698,-6.06522903673258
349,37.0887318933045,-6.05091174810541,37.1828740222748,-13.6033736369848,29.6000094806491,-13.617023462563,29.6723365759698,-6.06522903673258
350,44.1379118933045,-6.05091174810541,44.2320540222748,-13.6033736369848,36.6491894806491,-13.617023462563,36.7215165759698,-6.06522903673258
351,51.1871018933045,-6.05091174810541,51.2812440222748,-13.6033736369848,43.6983794806491,-13.617023462563,43.7707065759698,-6.06522903673258
352,58.2362818933045,-6.05091174810541,58.3304240222748,-13.6033736369848,50.7475594806491,-13.617023462563,50.8198865759698,-6.06522903673258
353,65.2854718933045,-6.05091174810541,65.3796140222748,-13.6033736369848,57.7967494806491,-13.617023462563,57.8690765759698,-6.06522903673258
354,72.3346518933045,-6.05091174810541,72.4287940222748,-13.6033736369848,64.8459294806491,-13.617023462563,64.9182565759698,-6.06522903673258
355,79.3838418933045,-6.05091174810541,79.4779840222748,-13.6033736369848,71.8951194806491,-13.617023462563,71.9674465759698,-6.06522903673258
356,86.4330218933045,-6.05091174810541,86.5271640222748,-13.6033736369848,78.9442994806491,-13.617023462563,79.0166265759698,-6.06522903673258
357,93.4822118933045,-6.05091174810541,93.5763540222748,-13.6033736369848,85.9934894806491,-13.617023462563,86.0658165759698,-6.06522903673258
358,100.531391893305,-6.05091174810541,100.625534022275,-13.6033736369848,93.0426694806491,-13.617023462563,93.1149965759698,-6.06522903673258
359,107.580581893304,-6.05091174810541,107.674724022275,-13.6033736369848,100.091859480649,-13.617023462563,100.16418657597,-6.06522903673258
360,114.640001893305,-6.05091174810541,114.734144022275,-13.6033736369848,107.151279480649,-13.617023462563,107.22360657597,-6.06522903673258
361,121.709671893305,-6.05091174810541,121.803814022275,-13.6033736369848,114.220949480649,-13.617023462563,114.29327657597,-6.06522903673258
